ticker;name;total_board_members;female_board_members;female_percentage
000001.SZ;PAB (Ping An Bank);13;2;15.4
000002.SZ;Vanke-A;8;1;12.5
000004.SZ;GH-Tech;5;1;20.0
000006.SZ;Shenzhen Zhenye Group;9;2;22.2
000007.SZ;Whole New Good;5;0;0.0
000008.SZ;CHSR;9;2;22.2
000009.SZ;China Baoan Group;10;2;20.0
000010.SZ;Ecobeauty;5;1;20.0
000011.SZ;PRD A;9;3;33.3
000012.SZ;CSG Group;9;3;33.3
000014.SZ;Shahe Industry;7;3;42.9
000016.SZ;Konka Group;8;0;0.0
000019.SZ;SBSY;8;2;25.0
000020.SZ;Huafa;7;2;28.6
000021.SZ;Kaifa;9;0;0.0
000025.SZ;Tellus;8;1;12.5
000026.SZ;Fiyta;9;1;11.1
000027.SZ;SEIC;9;1;11.1
000028.SZ;Sinopharm Accord;9;1;11.1
000029.SZ;SPG;9;0;0.0
000030.SZ;Fawer;11;2;18.2
000031.SZ;Joy City Hldg;9;2;22.2
000032.SZ;SED;9;2;22.2
000034.SZ;DC Holdings;10;2;20.0
000035.SZ;China Tianying;7;1;14.3
000036.SZ;UDC;7;0;0.0
000037.SZ;NSRD;8;1;12.5
000039.SZ;CIMC;9;2;22.2
000042.SZ;Centralcon Holding;9;2;22.2
000045.SZ;Shenzhen Textile;9;1;11.1
000048.SZ;Kingkey Smart Agri;8;0;0.0
000049.SZ;DesayBattery;9;0;0.0
000050.SZ;Tianma;12;3;25.0
000055.SZ;Fangda Group;7;1;14.3
000056.SZ;WYGJ;9;3;33.3
000058.SZ;SEGCL;7;2;28.6
000059.SZ;Huajin;9;1;11.1
000060.SZ;Nonfemet;9;1;11.1
000061.SZ;Shenzhen Agriculture Group;11;3;27.3
000062.SZ;Huaqiang Industry;9;1;11.1
000065.SZ;Norinco Internationa;9;1;11.1
000066.SZ;CGT Group;9;2;22.2
000068.SZ;Huakong SEG;9;2;22.2
000069.SZ;OCT Holding;4;0;0.0
000070.SZ;SDGI;9;1;11.1
000078.SZ;Neptunus;9;0;0.0
000088.SZ;Yantian Port;9;1;11.1
000089.SZ;SACL;9;2;22.2
000090.SZ;Tagen;9;0;0.0
000096.SZ;GJNY;10;0;0.0
000099.SZ;COHC;15;2;13.3
